0.03,100.0,103676.22
100.0,0.04,128194996.01
0.04,70.0,41772684.91
0.05,60.0,38096572.54
0.06,50.0,32733183.47
0.07,40.0,27744748.81
0.1,30.0,23184398.17
0.2,20.0,16700534.51
0.3,10.0,8881251.02
0.4,7.0,6721468.99
0.5,6.0,6178722.00
0.6,5.0,5636017.32
0.7,4.0,5093347.35
1.0,3.0,5082483.91
2.0,2.0,6942036.37
3.0,1.0,8698398.48
4.0,0.7,11085820.52
5.0,0.6,13634939.68
6.0,0.5,16184058.13
7.0,0.4,18733177.30
10.0,0.3,26542236.02
20.0,0.2,52761073.24
30.0,0.1,78979914.60
40.0,0.08,105263429.63
50.0,0.06,131546943.56
70.0,0.05,183891500.50
80.0,0.04,210150878.27
