0.2,100.0,100.0,100.0,826920.58
100.0,0.2,100.0,100.0,124132514.64
100.0,100.0,0.3,100.0,124333887.59
100.0,100.0,100.0,2.0,122647054.68
0.2,90.0,100.0,100.0,48288806.44
0.3,60.0,100.0,100.0,32632975.10
0.4,50.0,100.0,100.0,27557975.43
0.5,40.0,100.0,100.0,22483132.94
0.6,30.0,100.0,100.0,17408601.10
0.9,20.0,100.0,100.0,13226392.91
2.0,9.0,100.0,100.0,9570744.37
3.0,6.0,100.0,100.0,10179077.98
4.0,5.0,100.0,100.0,11785270.25
5.0,4.0,100.0,100.0,13407011.67
6.0,3.0,100.0,100.0,15056398.56
9.0,2.0,100.0,100.0,21096418.62
10.0,2.0,100.0,100.0,23284856.17
20.0,0.9,100.0,100.0,44918944.65
30.0,0.6,100.0,100.0,65712330.58
40.0,0.5,100.0,100.0,86302273.54
50.0,0.4,100.0,100.0,106805582.97
60.0,0.3,100.0,100.0,127414697.53
90.0,0.2,100.0,100.0,190042539.96
0.2,100.0,90.0,100.0,6735005.65
0.3,100.0,60.0,100.0,5025813.91
0.4,100.0,50.0,100.0,4628562.48
0.5,100.0,40.0,100.0,4227995.76
0.6,100.0,30.0,100.0,3822232.59
0.9,100.0,20.0,100.0,3912974.23
2.0,100.0,9.0,100.0,5573450.57
3.0,100.0,6.0,100.0,7485473.97
4.0,100.0,5.0,100.0,9538672.76
5.0,100.0,4.0,100.0,11693920.61
6.0,100.0,3.0,100.0,13729208.75
9.0,100.0,2.0,100.0,20012952.05
10.0,100.0,2.0,100.0,22136410.83
20.0,100.0,0.9,100.0,43246401.83
30.0,100.0,0.7,100.0,64401745.41
40.0,100.0,0.5,100.0,85450218.41
60.0,100.0,0.4,100.0,127674076.09
80.0,100.0,0.3,100.0,169873907.22
0.2,100.0,100.0,80.0,851693.09
0.3,100.0,100.0,60.0,992107.41
0.4,100.0,100.0,40.0,1105066.74
0.6,100.0,100.0,30.0,1490765.96
0.8,100.0,100.0,20.0,1853323.20
2.0,100.0,100.0,9.0,4246609.37
3.0,100.0,100.0,6.0,6261773.55
4.0,100.0,100.0,5.0,8304214.04
6.0,100.0,100.0,4.0,12396178.27
8.0,100.0,100.0,3.0,16585726.10
20.0,100.0,100.0,2.0,41201260.15
