5.0,100.0,100.0,100.0,100.0,20298817.66
100.0,5.0,100.0,100.0,100.0,132320125.77
100.0,100.0,7.0,100.0,100.0,123641414.44
100.0,100.0,100.0,5.0,100.0,128162934.57
100.0,100.0,100.0,100.0,8.0,127756029.31
5.0,90.0,100.0,100.0,100.0,67982648.38
6.0,70.0,100.0,100.0,100.0,60360216.97
7.0,60.0,100.0,100.0,100.0,58038641.86
9.0,50.0,100.0,100.0,100.0,58183398.73
20.0,30.0,100.0,100.0,100.0,65068507.22
30.0,20.0,100.0,100.0,100.0,83007525.46
50.0,9.0,100.0,100.0,100.0,118346598.03
60.0,7.0,100.0,100.0,100.0,138271390.57
70.0,6.0,100.0,100.0,100.0,158734590.80
90.0,5.0,100.0,100.0,100.0,200199574.07
5.0,100.0,90.0,100.0,100.0,21551088.61
6.0,100.0,80.0,100.0,100.0,23751921.48
7.0,100.0,70.0,100.0,100.0,20172108.38
8.0,100.0,60.0,100.0,100.0,21490381.32
9.0,100.0,50.0,100.0,100.0,22775269.02
20.0,100.0,30.0,100.0,100.0,43964030.93
30.0,100.0,20.0,100.0,100.0,63624323.74
60.0,100.0,9.0,100.0,100.0,123800695.45
70.0,100.0,8.0,100.0,100.0,144052701.69
90.0,100.0,7.0,100.0,100.0,184633828.01
5.0,100.0,100.0,90.0,100.0,23616998.25
6.0,100.0,100.0,70.0,100.0,25845999.15
7.0,100.0,100.0,60.0,100.0,28691151.13
8.0,100.0,100.0,60.0,100.0,31699330.23
9.0,100.0,100.0,50.0,100.0,33960902.26
20.0,100.0,100.0,30.0,100.0,64284922.28
30.0,100.0,100.0,20.0,100.0,92321063.37
50.0,100.0,100.0,9.0,100.0,135438062.70
60.0,100.0,100.0,8.0,100.0,156415409.98
70.0,100.0,100.0,7.0,100.0,177351550.58
80.0,100.0,100.0,6.0,100.0,198244968.32
90.0,100.0,100.0,5.0,100.0,219094584.92
5.0,100.0,100.0,100.0,90.0,20749257.53
6.0,100.0,100.0,100.0,80.0,23635597.16
7.0,100.0,100.0,100.0,70.0,26487659.58
8.0,100.0,100.0,100.0,60.0,29302814.08
9.0,100.0,100.0,100.0,50.0,32072280.60
20.0,100.0,100.0,100.0,30.0,63924311.01
30.0,100.0,100.0,100.0,20.0,92574329.06
60.0,100.0,100.0,100.0,10.0,135018742.22
70.0,100.0,100.0,100.0,9.0,155745560.32
90.0,100.0,100.0,100.0,8.0,197579395.93
