p1,p2
0.03,100.00
100.00,0.04
0.04,70.00
0.05,60.00
0.06,50.00
0.07,40.00
0.10,30.00
0.20,20.00
0.30,10.00
0.40,7.00
0.50,6.00
0.60,5.00
0.70,4.00
1.00,3.00
2.00,2.00
3.00,1.00
4.00,0.70
5.00,0.60
6.00,0.50
7.00,0.40
10.00,0.30
20.00,0.20
30.00,0.10
40.00,0.08
50.00,0.06
70.00,0.05
80.00,0.04
